date,signal_time,direction,option_type,broken_level,breakout_time,breakout_price,reversal_price,speed_candles,confluence_score,nearby_levels,volume_ok,conviction,strike_hint,nifty_spot,trend_dir,trend_strength,adx,rev_quality,rev_metrics,day_structure,struct_metrics,trigger_type
2026-04-01,2026-04-01 10:35:00,long,CE,22811.4,2026-04-01 10:25:00,22772.1,22813.8,2,5,,True,MEDIUM,ATM,22813.8,bearish,weak,6.97,strong_reversal,"{'hh_ratio': 0.5, 'lh_ratio': 0.5, 'rise_points': np.float64(41.7), 'rise_pct': np.float64(0.183), 'avg_range': np.float64(38.08), 'trough': np.float64(22772.1)}",structure_ok,"{'ll_run': 0, 'has_higher_low': False, 'retrace_pct': np.float64(0.247), 'recent_low': np.float64(22772.1), 'bounce_size': np.float64(41.7), 'n_swings_low': 1}",failed_breakout
2026-04-08,2026-04-08 11:50:00,short,PE,23959.75,2026-04-08 10:50:00,23971.95,23948.7,12,5,,True,MEDIUM,ATM,23948.7,bearish,strong,40.85,strong_reversal,"{'lh_ratio': 0.71, 'hl_ratio': 0.43, 'drop_points': np.float64(65.3), 'drop_pct': np.float64(0.272), 'avg_range': np.float64(28.39), 'peak': np.float64(24014.0)}",strong_pullback(37%),"{'hh_run': 1, 'has_lower_high': False, 'retrace_pct': np.float64(0.369), 'recent_high': np.float64(24014.0), 'pullback': np.float64(65.3), 'n_swings_high': 2}",failed_breakout
2026-04-09,2026-04-09 10:55:00,long,CE,23760.55,2026-04-09 10:55:00,23760.55,23828.75,5,5,,True,MEDIUM,ATM,23828.75,bearish,moderate,21.27,type_B_swing,"{'tested': 'TDL', 'hl_diff': np.float64(43.099609375)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.298), 'recent_low': np.float64(23760.55), 'bounce_size': np.float64(68.2), 'n_swings_low': 2}",swing_low_reclaim
2026-04-09,2026-04-09 11:35:00,long,CE,23828.5,2026-04-09 11:35:00,23828.5,23856.25,5,9,PDL@23828.5,True,HIGH,ATM (delta ~0.5),23856.25,neutral,strong,27.4,type_B_swing,"{'tested': 'PDL', 'hl_diff': np.float64(10.548828125)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.418), 'recent_low': np.float64(23760.55), 'bounce_size': np.float64(95.7), 'n_swings_low': 3}",swing_low_reclaim
2026-04-10,2026-04-10 10:45:00,short,PE,24001.25,2026-04-10 10:15:00,24018.65,23994.95,6,9,PDH@23990.8,True,HIGH,ATM (delta ~0.5),23994.95,bullish,weak,10.09,strong_reversal,"{'lh_ratio': 0.75, 'hl_ratio': 0.5, 'drop_points': np.float64(40.65), 'drop_pct': np.float64(0.169), 'avg_range': np.float64(21.55), 'peak': np.float64(24035.6)}",structure_ok,"{'hh_run': 0, 'has_lower_high': False, 'retrace_pct': np.float64(0.241), 'recent_high': np.float64(24035.6), 'pullback': np.float64(40.65), 'n_swings_high': 1}",failed_breakout
2026-04-13,2026-04-13 14:05:00,short,PE,23856.5,2026-04-13 13:50:00,23882.55,23855.35,3,9,PDL@23856.3,True,HIGH,ATM (delta ~0.5),23855.35,bullish,weak,12.67,strong_reversal,"{'lh_ratio': 1.0, 'hl_ratio': 0.5, 'drop_points': np.float64(50.3), 'drop_pct': np.float64(0.21), 'avg_range': np.float64(26.0), 'peak': np.float64(23905.65)}",structure_ok,"{'hh_run': 0, 'has_lower_high': False, 'retrace_pct': np.float64(0.285), 'recent_high': np.float64(23905.65), 'pullback': np.float64(50.3), 'n_swings_high': 1}",failed_breakout
2026-04-13,2026-04-13 14:05:00,short,PE,23882.55,2026-04-13 13:55:00,23905.65,23855.35,2,9,PDL@23856.3,True,HIGH,ATM (delta ~0.5),23855.35,bullish,weak,12.67,strong_reversal,"{'lh_ratio': 1.0, 'hl_ratio': 0.5, 'drop_points': np.float64(50.3), 'drop_pct': np.float64(0.21), 'avg_range': np.float64(26.0), 'peak': np.float64(23905.65)}",structure_ok,"{'hh_run': 0, 'has_lower_high': False, 'retrace_pct': np.float64(0.285), 'recent_high': np.float64(23905.65), 'pullback': np.float64(50.3), 'n_swings_high': 1}",failed_breakout
2026-04-16,2026-04-16 11:00:00,long,CE,24266.5,2026-04-16 11:00:00,24266.5,24324.45,5,9,PDH@24280.9,True,HIGH,ATM (delta ~0.5),24324.45,neutral,moderate,23.33,type_B_swing,"{'tested': 'TDL', 'hl_diff': np.float64(25.94921875)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.434), 'recent_low': np.float64(24266.5), 'bounce_size': np.float64(57.95), 'n_swings_low': 2}",swing_low_reclaim
2026-04-16,2026-04-16 14:25:00,long,CE,24145.8,2026-04-16 14:25:00,24145.8,24186.6,5,9,PDL@24145.8,True,HIGH,ATM (delta ~0.5),24186.6,bullish,strong,26.7,type_B_swing,"{'tested': 'PDL', 'hl_diff': np.float64(29.349609375)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.37), 'recent_low': np.float64(24103.1), 'bounce_size': np.float64(83.5), 'n_swings_low': 2}",swing_low_reclaim
2026-04-17,2026-04-17 12:30:00,short,PE,24322.25,2026-04-17 12:30:00,24322.25,24265.35,5,5,,True,MEDIUM,ATM,24265.35,neutral,moderate,18.75,type_B_swing,"{'tested': 'TDH', 'hl_diff': np.float64(28.55078125)}",structure_reversed_LH_confirmed,"{'hh_run': 0, 'has_lower_high': True, 'retrace_pct': np.float64(0.267), 'recent_high': np.float64(24322.25), 'pullback': np.float64(56.9), 'n_swings_high': 4}",swing_high_rejection
