,adj close,close,high,low,open,volume
2026-03-20 12:05:00,23212.25,23212.25,23240.0,23210.900390625,23229.849609375,0
2026-03-20 12:10:00,23233.05078125,23233.05078125,23236.099609375,23210.900390625,23212.94921875,0
2026-03-20 12:15:00,23185.599609375,23185.599609375,23234.150390625,23183.0,23234.150390625,0
2026-03-20 12:20:00,23155.05078125,23155.05078125,23193.55078125,23153.19921875,23187.44921875,0
2026-03-20 12:25:00,23155.150390625,23155.150390625,23160.05078125,23137.05078125,23154.80078125,0
2026-03-20 12:30:00,23170.099609375,23170.099609375,23170.900390625,23120.349609375,23155.650390625,0
2026-03-20 12:35:00,23184.650390625,23184.650390625,23191.75,23165.849609375,23171.599609375,0
2026-03-20 12:40:00,23205.75,23205.75,23216.400390625,23180.650390625,23185.5,0
2026-03-20 12:45:00,23217.30078125,23217.30078125,23226.69921875,23202.80078125,23206.5,0
2026-03-20 12:50:00,23227.0,23227.0,23241.349609375,23204.849609375,23218.900390625,0
2026-03-20 12:55:00,23214.80078125,23214.80078125,23249.69921875,23214.80078125,23227.94921875,0
2026-03-20 13:00:00,23240.30078125,23240.30078125,23243.150390625,23202.599609375,23214.900390625,0
2026-03-20 13:05:00,23240.900390625,23240.900390625,23251.19921875,23227.650390625,23240.900390625,0
2026-03-20 13:10:00,23231.5,23231.5,23243.150390625,23224.55078125,23242.150390625,0
2026-03-20 13:15:00,23235.599609375,23235.599609375,23257.349609375,23230.30078125,23232.0,0
2026-03-20 13:20:00,23248.150390625,23248.150390625,23259.349609375,23230.0,23236.75,0
2026-03-20 13:25:00,23257.69921875,23257.69921875,23271.099609375,23243.69921875,23249.19921875,0
2026-03-20 13:30:00,23245.19921875,23245.19921875,23266.44921875,23243.05078125,23258.44921875,0
2026-03-20 13:35:00,23270.19921875,23270.19921875,23272.400390625,23242.5,23246.19921875,0
2026-03-20 13:40:00,23232.0,23232.0,23270.55078125,23231.94921875,23270.30078125,0
2026-03-20 13:45:00,23206.44921875,23206.44921875,23234.0,23206.05078125,23233.69921875,0
2026-03-20 13:50:00,23216.849609375,23216.849609375,23218.05078125,23194.650390625,23207.599609375,0
2026-03-20 13:55:00,23193.44921875,23193.44921875,23230.30078125,23188.650390625,23216.650390625,0
2026-03-20 14:00:00,23235.349609375,23235.349609375,23235.349609375,23185.25,23195.0,0
2026-03-20 14:05:00,23225.55078125,23225.55078125,23244.55078125,23212.0,23237.400390625,0
2026-03-20 14:10:00,23199.150390625,23199.150390625,23228.55078125,23192.55078125,23226.849609375,0
2026-03-20 14:15:00,23200.69921875,23200.69921875,23204.849609375,23183.44921875,23200.05078125,0
2026-03-20 14:20:00,23185.400390625,23185.400390625,23205.75,23169.75,23201.80078125,0
2026-03-20 14:25:00,23164.0,23164.0,23186.19921875,23164.0,23186.19921875,0
2026-03-20 14:30:00,23176.650390625,23176.650390625,23188.05078125,23152.0,23164.05078125,0
2026-03-20 14:35:00,23150.25,23150.25,23177.599609375,23133.150390625,23177.599609375,0
