,open,high,low,close,volume
2026-05-04 14:24:00+05:30,24132.30078125,24135.80078125,24124.25,24127.349609375,0
2026-05-04 14:27:00+05:30,24127.900390625,24129.150390625,24113.25,24122.69921875,0
2026-05-04 14:30:00+05:30,24123.75,24131.94921875,24105.44921875,24113.150390625,0
2026-05-04 14:33:00+05:30,24113.25,24119.400390625,24103.80078125,24113.5,0
2026-05-04 14:36:00+05:30,24114.349609375,24117.599609375,24101.650390625,24107.599609375,0
2026-05-04 14:39:00+05:30,24109.19921875,24113.599609375,24072.150390625,24078.0,0
2026-05-04 14:42:00+05:30,24078.400390625,24101.19921875,24077.0,24096.0,0
2026-05-04 14:45:00+05:30,24096.150390625,24097.80078125,24072.150390625,24086.400390625,0
2026-05-04 14:48:00+05:30,24086.69921875,24088.599609375,24071.0,24080.5,0
2026-05-04 14:51:00+05:30,24081.94921875,24084.05078125,24071.44921875,24075.400390625,0
2026-05-04 14:54:00+05:30,24075.400390625,24111.5,24071.30078125,24085.19921875,0
2026-05-04 14:57:00+05:30,24085.150390625,24093.849609375,24078.400390625,24089.25,0
2026-05-04 15:00:00+05:30,24091.0,24095.19921875,24074.94921875,24083.849609375,0
2026-05-04 15:03:00+05:30,24086.849609375,24114.150390625,24083.650390625,24114.150390625,0
2026-05-04 15:06:00+05:30,24117.19921875,24124.19921875,24112.599609375,24122.599609375,0
2026-05-04 15:09:00+05:30,24122.349609375,24124.150390625,24108.349609375,24119.05078125,0
2026-05-04 15:12:00+05:30,24122.150390625,24135.05078125,24119.05078125,24123.25,0
2026-05-04 15:15:00+05:30,24125.05078125,24135.44921875,24123.05078125,24126.44921875,0
2026-05-04 15:18:00+05:30,24128.44921875,24131.349609375,24115.0,24129.30078125,0
2026-05-04 15:21:00+05:30,24131.19921875,24134.599609375,24117.30078125,24122.25,0
2026-05-04 15:24:00+05:30,24124.099609375,24126.80078125,24110.19921875,24125.099609375,0
2026-05-04 15:27:00+05:30,24127.900390625,24128.69921875,24114.150390625,24123.80078125,0
2026-05-05 09:15:00+05:30,24049.55078125,24054.80078125,23949.75,24033.55078125,0
2026-05-05 09:18:00+05:30,24033.30078125,24070.099609375,24027.349609375,24037.349609375,0
2026-05-05 09:21:00+05:30,24040.75,24051.599609375,24026.80078125,24046.80078125,0
2026-05-05 09:24:00+05:30,24046.94921875,24056.900390625,23985.099609375,23990.5,0
2026-05-05 09:27:00+05:30,23989.0,24004.19921875,23977.650390625,23992.05078125,0
2026-05-05 09:30:00+05:30,23990.599609375,24043.25,23988.099609375,24030.599609375,0
2026-05-05 09:33:00+05:30,24028.900390625,24057.55078125,24028.900390625,24056.44921875,0
2026-05-05 09:36:00+05:30,24055.80078125,24060.55078125,24022.150390625,24039.69921875,0
2026-05-05 09:39:00+05:30,24038.650390625,24040.25,24000.94921875,24006.349609375,0
2026-05-05 09:42:00+05:30,24005.05078125,24027.80078125,24004.69921875,24013.75,0
2026-05-05 09:45:00+05:30,24013.55078125,24028.55078125,24005.849609375,24022.75,0
2026-05-05 09:48:00+05:30,24022.19921875,24041.55078125,24018.599609375,24027.69921875,0
2026-05-05 09:51:00+05:30,24028.19921875,24053.05078125,24023.75,24053.05078125,0
2026-05-05 09:54:00+05:30,24052.80078125,24055.44921875,24042.599609375,24049.150390625,0
2026-05-05 09:57:00+05:30,24048.55078125,24051.30078125,24032.30078125,24043.05078125,0
2026-05-05 10:00:00+05:30,24042.55078125,24053.900390625,24001.75,24003.150390625,0
2026-05-05 10:03:00+05:30,24003.150390625,24027.349609375,24003.150390625,24006.0,0
2026-05-05 10:06:00+05:30,24004.349609375,24004.900390625,23987.150390625,23999.150390625,0
2026-05-05 10:09:00+05:30,23998.75,24006.55078125,23978.5,23983.900390625,0
2026-05-05 10:12:00+05:30,23983.349609375,23994.849609375,23980.0,23986.0,0
2026-05-05 10:15:00+05:30,23986.099609375,23986.099609375,23970.099609375,23984.099609375,0
2026-05-05 10:18:00+05:30,23983.099609375,23994.44921875,23975.80078125,23991.650390625,0
2026-05-05 10:21:00+05:30,23991.44921875,23991.44921875,23967.150390625,23985.05078125,0
2026-05-05 10:24:00+05:30,23984.30078125,23988.44921875,23954.30078125,23963.400390625,0
2026-05-05 10:27:00+05:30,23961.94921875,23965.150390625,23945.19921875,23954.400390625,0
2026-05-05 10:30:00+05:30,23952.19921875,23966.80078125,23948.19921875,23959.44921875,0
2026-05-05 10:33:00+05:30,23958.599609375,23961.05078125,23933.80078125,23933.80078125,0
2026-05-05 10:36:00+05:30,23932.69921875,23947.44921875,23922.900390625,23944.69921875,0
2026-05-05 10:39:00+05:30,23943.400390625,23946.5,23932.0,23937.44921875,0
2026-05-05 10:42:00+05:30,23937.099609375,23947.25,23934.05078125,23937.94921875,0
2026-05-05 10:45:00+05:30,23937.25,23949.05078125,23935.5,23940.75,0
2026-05-05 10:48:00+05:30,23939.94921875,23950.30078125,23937.099609375,23946.099609375,0
2026-05-05 10:51:00+05:30,23945.55078125,23949.75,23920.099609375,23921.94921875,0
2026-05-05 10:54:00+05:30,23922.44921875,23930.80078125,23918.849609375,23922.44921875,0
2026-05-05 10:57:00+05:30,23921.650390625,23928.5,23916.150390625,23925.94921875,0
2026-05-05 11:00:00+05:30,23925.150390625,23941.150390625,23915.25,23930.349609375,0
2026-05-05 11:03:00+05:30,23930.849609375,23952.75,23930.849609375,23936.650390625,0
2026-05-05 11:06:00+05:30,23937.75,23948.0,23921.44921875,23933.400390625,0
2026-05-05 11:09:00+05:30,23932.5,23946.599609375,23926.150390625,23934.19921875,0
2026-05-05 11:12:00+05:30,23933.80078125,23949.55078125,23932.650390625,23939.0,0
2026-05-05 11:15:00+05:30,23937.80078125,23961.55078125,23937.400390625,23952.94921875,0
2026-05-05 11:18:00+05:30,23952.69921875,23953.75,23930.80078125,23930.80078125,0
2026-05-05 11:21:00+05:30,23929.80078125,23938.599609375,23924.349609375,23929.599609375,0
2026-05-05 11:24:00+05:30,23929.19921875,23940.150390625,23927.55078125,23934.900390625,0
2026-05-05 11:27:00+05:30,23935.44921875,23939.44921875,23931.150390625,23935.150390625,0
2026-05-05 11:30:00+05:30,23935.30078125,23952.5,23933.75,23952.5,0
2026-05-05 11:33:00+05:30,23951.55078125,23965.900390625,23945.05078125,23964.900390625,0
2026-05-05 11:36:00+05:30,23965.400390625,23966.75,23943.849609375,23947.849609375,0
2026-05-05 11:39:00+05:30,23947.599609375,23949.80078125,23919.69921875,23922.19921875,0
2026-05-05 11:42:00+05:30,23920.75,23929.150390625,23916.05078125,23916.05078125,0
2026-05-05 11:45:00+05:30,23915.400390625,23919.19921875,23892.400390625,23895.44921875,0
2026-05-05 11:48:00+05:30,23894.30078125,23907.69921875,23893.599609375,23899.5,0
2026-05-05 11:51:00+05:30,23900.25,23916.599609375,23896.599609375,23910.400390625,0
2026-05-05 11:54:00+05:30,23909.80078125,23910.900390625,23885.05078125,23891.25,0
2026-05-05 11:57:00+05:30,23890.44921875,23899.25,23883.5,23888.94921875,0
2026-05-05 12:00:00+05:30,23888.150390625,23905.55078125,23888.150390625,23899.25,0
2026-05-05 12:03:00+05:30,23898.650390625,23914.349609375,23896.900390625,23911.44921875,0
2026-05-05 12:06:00+05:30,23911.349609375,23922.69921875,23907.849609375,23918.44921875,0
2026-05-05 12:09:00+05:30,23918.150390625,23935.849609375,23918.150390625,23929.19921875,0
2026-05-05 12:12:00+05:30,23928.900390625,23949.30078125,23924.44921875,23946.44921875,0
2026-05-05 12:15:00+05:30,23945.94921875,23953.900390625,23944.69921875,23945.69921875,0
2026-05-05 12:18:00+05:30,23944.400390625,23961.099609375,23943.599609375,23959.44921875,0
2026-05-05 12:21:00+05:30,23961.099609375,23977.94921875,23959.099609375,23971.44921875,0
2026-05-05 12:24:00+05:30,23971.400390625,23975.400390625,23961.599609375,23963.849609375,0
2026-05-05 12:27:00+05:30,23963.75,23964.849609375,23940.849609375,23943.19921875,0
2026-05-05 12:30:00+05:30,23943.900390625,23955.55078125,23933.80078125,23941.30078125,0
2026-05-05 12:33:00+05:30,23941.849609375,23958.69921875,23941.650390625,23957.55078125,0
