,Close,High,Low,Open,Volume
2026-05-18 11:04:00+05:30,23455.25,23463.05078125,23454.900390625,23461.5,0
2026-05-18 11:05:00+05:30,23462.94921875,23464.75,23454.75,23455.150390625,0
2026-05-18 11:06:00+05:30,23467.94921875,23474.05078125,23463.19921875,23463.19921875,0
2026-05-18 11:07:00+05:30,23459.5,23474.75,23459.400390625,23468.30078125,0
2026-05-18 11:08:00+05:30,23466.0,23468.400390625,23456.099609375,23459.05078125,0
2026-05-18 11:09:00+05:30,23476.400390625,23477.75,23466.55078125,23467.05078125,0
2026-05-18 11:10:00+05:30,23474.0,23477.75,23471.75,23477.099609375,0
2026-05-18 11:11:00+05:30,23465.599609375,23475.80078125,23465.19921875,23465.599609375,0
2026-05-18 11:12:00+05:30,23461.19921875,23467.0,23460.599609375,23461.19921875,0
2026-05-18 11:13:00+05:30,23474.19921875,23475.0,23460.900390625,23474.19921875,0
2026-05-18 11:14:00+05:30,23470.099609375,23474.55078125,23466.0,23474.55078125,0
2026-05-18 11:15:00+05:30,23475.900390625,23476.25,23465.849609375,23470.19921875,0
2026-05-18 11:16:00+05:30,23483.30078125,23486.30078125,23474.849609375,23483.30078125,0
2026-05-18 11:17:00+05:30,23484.599609375,23491.94921875,23481.900390625,23483.5,0
2026-05-18 11:18:00+05:30,23484.849609375,23491.75,23481.05078125,23483.900390625,0
2026-05-18 11:19:00+05:30,23494.05078125,23494.69921875,23482.44921875,23483.849609375,0
2026-05-18 11:20:00+05:30,23486.0,23495.75,23483.30078125,23494.30078125,0
2026-05-18 11:21:00+05:30,23478.69921875,23486.19921875,23476.05078125,23485.900390625,0
2026-05-18 11:22:00+05:30,23503.099609375,23503.400390625,23478.400390625,23478.400390625,0
2026-05-18 11:23:00+05:30,23495.19921875,23506.94921875,23494.400390625,23503.5,0
2026-05-18 11:24:00+05:30,23516.19921875,23518.0,23494.099609375,23494.5,0
2026-05-18 11:25:00+05:30,23510.19921875,23519.599609375,23506.05078125,23516.400390625,0
2026-05-18 11:26:00+05:30,23498.30078125,23510.650390625,23498.150390625,23498.30078125,0
2026-05-18 11:27:00+05:30,23501.30078125,23505.400390625,23494.19921875,23498.30078125,0
2026-05-18 11:28:00+05:30,23499.80078125,23503.900390625,23498.349609375,23501.099609375,0
2026-05-18 11:29:00+05:30,23495.80078125,23502.099609375,23494.30078125,23499.849609375,0
2026-05-18 11:30:00+05:30,23505.0,23505.099609375,23494.400390625,23505.0,0
2026-05-18 11:31:00+05:30,23514.150390625,23514.5,23503.099609375,23505.0,0
2026-05-18 11:32:00+05:30,23529.0,23530.900390625,23514.19921875,23529.0,0
2026-05-18 11:33:00+05:30,23530.44921875,23530.80078125,23524.599609375,23530.150390625,0
2026-05-18 11:34:00+05:30,23528.55078125,23532.599609375,23525.55078125,23530.150390625,0
2026-05-18 11:35:00+05:30,23529.650390625,23531.25,23524.55078125,23529.25,0
2026-05-18 11:36:00+05:30,23533.349609375,23533.94921875,23525.94921875,23529.80078125,0
2026-05-18 11:37:00+05:30,23537.650390625,23538.349609375,23531.099609375,23534.099609375,0
2026-05-18 11:38:00+05:30,23547.900390625,23548.80078125,23535.5,23537.849609375,0
2026-05-18 11:39:00+05:30,23560.650390625,23562.44921875,23547.55078125,23548.0,0
2026-05-18 11:40:00+05:30,23543.05078125,23561.099609375,23542.25,23560.69921875,0
2026-05-18 11:41:00+05:30,23532.849609375,23544.599609375,23532.849609375,23543.25,0
2026-05-18 11:42:00+05:30,23533.599609375,23535.0,23528.150390625,23533.44921875,0
2026-05-18 11:43:00+05:30,23532.19921875,23542.05078125,23532.150390625,23532.19921875,0
2026-05-18 11:44:00+05:30,23534.25,23534.599609375,23525.150390625,23532.30078125,0
2026-05-18 11:45:00+05:30,23536.5,23537.900390625,23533.400390625,23536.5,0
2026-05-18 11:46:00+05:30,23527.599609375,23538.25,23527.55078125,23537.30078125,0
2026-05-18 11:47:00+05:30,23514.0,23529.19921875,23513.650390625,23528.099609375,0
2026-05-18 11:48:00+05:30,23504.650390625,23515.44921875,23502.80078125,23513.349609375,0
2026-05-18 11:49:00+05:30,23512.69921875,23513.5,23504.400390625,23504.900390625,0
2026-05-18 11:50:00+05:30,23506.25,23512.900390625,23505.849609375,23512.55078125,0
2026-05-18 11:51:00+05:30,23504.349609375,23509.75,23501.900390625,23504.349609375,0
2026-05-18 11:52:00+05:30,23507.55078125,23511.349609375,23504.25,23504.25,0
2026-05-18 11:53:00+05:30,23504.69921875,23510.599609375,23504.5,23507.599609375,0
2026-05-18 11:54:00+05:30,23499.69921875,23506.25,23499.30078125,23504.900390625,0
2026-05-18 11:55:00+05:30,23498.150390625,23509.650390625,23497.5,23500.099609375,0
2026-05-18 11:56:00+05:30,23498.599609375,23499.349609375,23492.44921875,23498.0,0
2026-05-18 11:57:00+05:30,23497.150390625,23502.30078125,23496.75,23498.650390625,0
2026-05-18 11:58:00+05:30,23486.099609375,23499.44921875,23485.900390625,23497.05078125,0
2026-05-18 11:59:00+05:30,23474.69921875,23486.44921875,23473.69921875,23486.099609375,0
2026-05-18 12:00:00+05:30,23469.94921875,23475.349609375,23468.349609375,23474.75,0
2026-05-18 12:01:00+05:30,23479.80078125,23479.900390625,23470.349609375,23470.349609375,0
2026-05-18 12:02:00+05:30,23476.599609375,23482.05078125,23473.05078125,23479.849609375,0
2026-05-18 12:03:00+05:30,23478.400390625,23478.400390625,23474.25,23476.94921875,0
2026-05-18 12:04:00+05:30,23477.900390625,23485.5,23477.900390625,23478.19921875,0
2026-05-18 12:05:00+05:30,23483.400390625,23487.19921875,23477.69921875,23477.69921875,0
2026-05-18 12:06:00+05:30,23488.0,23491.44921875,23483.150390625,23483.30078125,0
2026-05-18 12:07:00+05:30,23486.400390625,23488.599609375,23479.400390625,23488.25,0
2026-05-18 12:08:00+05:30,23495.75,23496.30078125,23485.94921875,23485.94921875,0
2026-05-18 12:09:00+05:30,23492.5,23500.150390625,23491.599609375,23495.94921875,0
2026-05-18 12:10:00+05:30,23507.69921875,23507.69921875,23492.0,23492.44921875,0
2026-05-18 12:11:00+05:30,23512.80078125,23515.80078125,23508.349609375,23508.349609375,0
2026-05-18 12:12:00+05:30,23516.5,23518.19921875,23508.94921875,23514.05078125,0
2026-05-18 12:13:00+05:30,23515.900390625,23522.75,23515.150390625,23516.650390625,0
2026-05-18 12:14:00+05:30,23516.05078125,23517.30078125,23512.650390625,23515.5,0
2026-05-18 12:15:00+05:30,23529.75,23529.75,23529.75,23529.75,0
2026-05-18 12:20:00+05:30,23519.349609375,23520.099609375,23518.900390625,23519.94921875,0
