date,week_high,week_low,week_close
2017-06-30,9615.400390625,9448.75,9520.900390625
2017-07-07,9700.7001953125,9543.5498046875,9665.7998046875
2017-07-14,9913.2998046875,9646.4501953125,9886.349609375
2017-07-21,9928.2001953125,9792.0498046875,9915.25
2017-07-28,10114.849609375,9919.599609375,10014.5
2017-08-04,10137.849609375,9988.349609375,10066.400390625
2017-08-11,10088.099609375,9685.5498046875,9710.7998046875
2017-08-18,9947.7998046875,9752.099609375,9837.400390625
2017-08-25,9884.349609375,9740.099609375,9857.0498046875
2017-09-01,9983.4501953125,9783.75,9974.400390625
2017-09-08,9988.400390625,9861.0,9934.7998046875
2017-09-15,10131.9501953125,9968.7998046875,10085.400390625
2017-09-22,10178.9501953125,9952.7998046875,9964.400390625
2017-09-29,9960.5,9687.5498046875,9788.599609375
2017-10-06,9989.349609375,9831.0498046875,9979.7001953125
2017-10-13,10191.900390625,9955.7998046875,10167.4501953125
2017-10-20,10251.849609375,10123.349609375,10146.5498046875
2017-10-27,10366.150390625,10124.5,10323.0498046875
2017-11-03,10461.7001953125,10323.9501953125,10452.5
2017-11-10,10490.4501953125,10254.099609375,10321.75
2017-11-17,10343.599609375,10094.0,10283.599609375
2017-11-24,10404.5,10261.5,10389.7001953125
2017-12-01,10409.5498046875,10108.5498046875,10121.7998046875
2017-12-08,10270.849609375,10033.349609375,10265.650390625
2017-12-15,10373.099609375,10141.5498046875,10333.25
2017-12-22,10501.099609375,10074.7998046875,10493.0
2017-12-29,10552.400390625,10460.4501953125,10530.7001953125
2018-01-05,10566.099609375,10404.650390625,10558.849609375
2018-01-12,10690.400390625,10588.5498046875,10681.25
2018-01-19,10906.849609375,10666.75,10894.7001953125
2018-01-26,11110.099609375,10881.400390625,11069.650390625
2018-02-02,11171.5498046875,10736.099609375,10760.599609375
2018-02-09,10702.75,10276.2998046875,10454.9501953125
2018-02-16,10618.099609375,10434.0498046875,10452.2998046875
2018-02-23,10499.099609375,10302.75,10491.0498046875
2018-03-02,10631.650390625,10447.150390625,10458.349609375
2018-03-09,10441.349609375,10141.5498046875,10226.849609375
2018-03-16,10478.599609375,10180.25,10195.150390625
2018-03-23,10227.2998046875,9951.900390625,9998.0498046875
2018-03-30,10207.900390625,9958.5498046875,10113.7001953125
2018-04-06,10350.4501953125,10111.2998046875,10331.599609375
2018-04-13,10519.900390625,10328.5,10480.599609375
2018-04-20,10594.2001953125,10396.349609375,10564.0498046875
2018-04-27,10719.7998046875,10514.9501953125,10692.2998046875
2018-05-04,10784.650390625,10601.599609375,10618.25
2018-05-11,10812.0498046875,10635.650390625,10806.5
2018-05-18,10929.2001953125,10589.099609375,10596.400390625
2018-05-25,10628.0498046875,10417.7998046875,10605.150390625
2018-06-01,10764.75,10558.4501953125,10696.2001953125
2018-06-08,10818.0,10550.900390625,10767.650390625
2018-06-15,10893.25,10755.400390625,10817.7001953125
2018-06-22,10837.0,10701.2001953125,10821.849609375
2018-06-29,10831.0498046875,10557.7001953125,10714.2998046875
2018-07-06,10816.349609375,10604.650390625,10772.650390625
2018-07-13,11078.2998046875,10807.150390625,11018.900390625
2018-07-20,11076.2001953125,10925.599609375,11010.2001953125
2018-07-27,11283.400390625,11010.9501953125,11278.349609375
2018-08-03,11390.5498046875,11234.9501953125,11360.7998046875
2018-08-10,11495.2001953125,11359.7001953125,11429.5
2018-08-17,11486.4501953125,11340.2998046875,11470.75
2018-08-24,11620.7001953125,11499.650390625,11557.099609375
2018-08-31,11760.2001953125,11595.599609375,11680.5
2018-09-07,11751.7998046875,11393.849609375,11589.099609375
2018-09-14,11573.0,11250.2001953125,11515.2001953125
2018-09-21,11464.9501953125,10866.4501953125,11143.099609375
2018-09-28,11170.150390625,10850.2998046875,10930.4501953125
2018-10-05,11035.650390625,10261.900390625,10316.4501953125
2018-10-12,10492.4501953125,10138.599609375,10472.5
2018-10-19,10710.150390625,10249.599609375,10303.5498046875
2018-10-26,10408.5498046875,10004.5498046875,10030.0
2018-11-02,10606.9501953125,10020.349609375,10553.0
2018-11-09,10619.5498046875,10477.0,10585.2001953125
2018-11-16,10695.150390625,10440.5498046875,10682.2001953125
2018-11-23,10774.7001953125,10512.0,10526.75
2018-11-30,10922.4501953125,10489.75,10876.75
2018-12-07,10941.2001953125,10588.25,10693.7001953125
2018-12-14,10838.599609375,10333.849609375,10805.4501953125
2018-12-21,10985.150390625,10738.650390625,10754.0
2018-12-28,10893.599609375,10534.5498046875,10859.900390625
2019-01-04,10923.5498046875,10628.650390625,10727.349609375
2019-01-11,10870.400390625,10733.25,10794.9501953125
2019-01-18,10930.650390625,10692.349609375,10906.9501953125
2019-01-25,10987.4501953125,10756.4501953125,10780.5498046875
2019-02-01,10983.4501953125,10583.650390625,10893.650390625
2019-02-08,11118.099609375,10814.150390625,10943.599609375
2019-02-15,10930.900390625,10620.400390625,10724.400390625
2019-02-22,10808.849609375,10585.650390625,10791.650390625
2019-03-01,10939.7001953125,10729.2998046875,10863.5
2019-03-08,11089.0498046875,10817.0,11035.400390625
2019-03-15,11487.0,11059.849609375,11426.849609375
2019-03-22,11572.7998046875,11412.5,11456.900390625
2019-03-29,11588.5,11311.599609375,11570.0
2019-04-05,11761.0,11559.2001953125,11665.9501953125
2019-04-12,11710.2998046875,11549.099609375,11643.4501953125
2019-04-19,11856.150390625,11648.25,11752.7998046875
2019-04-26,11796.75,11564.7998046875,11754.650390625
2019-05-03,11789.2998046875,11655.900390625,11712.25
2019-05-10,11657.0498046875,11251.0498046875,11278.900390625
2019-05-17,11426.150390625,11108.2998046875,11407.150390625
2019-05-24,12041.150390625,11591.7001953125,11844.099609375
2019-05-31,12039.25,11812.400390625,11922.7998046875
2019-06-07,12103.0498046875,11769.5,11870.650390625
2019-06-14,12000.349609375,11797.7001953125,11823.2998046875
2019-06-21,11844.0498046875,11625.099609375,11724.099609375
2019-06-28,11911.150390625,11651.0,11788.849609375
2019-07-05,11981.75,11797.900390625,11811.150390625
2019-07-12,11771.900390625,11461.0,11552.5
2019-07-19,11706.650390625,11399.2998046875,11419.25
2019-07-26,11398.150390625,11210.0498046875,11284.2998046875
2019-08-02,11310.9501953125,10848.9501953125,10997.349609375
2019-08-09,11181.4501953125,10782.599609375,11109.650390625
2019-08-16,11145.900390625,10901.599609375,11047.7998046875
2019-08-23,11146.900390625,10637.150390625,10829.349609375
2019-08-30,11141.75,10756.5498046875,11023.25
2019-09-06,10967.5,10746.349609375,10946.2001953125
2019-09-13,11084.4501953125,10889.7998046875,11075.900390625
2019-09-20,11381.900390625,10670.25,11274.2001953125
2019-09-27,11694.849609375,11416.099609375,11512.400390625
2019-10-04,11554.2001953125,11158.349609375,11174.75
2019-10-11,11362.900390625,11090.150390625,11305.0498046875
2019-10-18,11684.7001953125,11290.0498046875,11661.849609375
2019-10-25,11714.349609375,11490.75,11583.900390625
2019-11-01,11945.0,11627.349609375,11890.599609375
2019-11-08,12034.150390625,11850.25,11908.150390625
2019-11-15,11973.650390625,11802.650390625,11895.4501953125
2019-11-22,12038.599609375,11867.599609375,11914.400390625
2019-11-29,12158.7998046875,11919.75,12056.0498046875
2019-12-06,12137.150390625,11888.849609375,11921.5
2019-12-13,12098.849609375,11832.2998046875,12086.7001953125
2019-12-20,12293.900390625,12046.2998046875,12271.7998046875
2019-12-27,12287.150390625,12118.849609375,12245.7998046875
2020-01-03,12289.900390625,12151.7998046875,12226.650390625
2020-01-10,12311.2001953125,11929.599609375,12256.7998046875
